drugname_norm,score,rxnorm_name_best,ingredient_name,accepted_by,has_rxnorm_name,stratum
TRULICITY 1.5MG SUBQ QWEEK,12.36504077911377,dulaglutide 1.5 MG/ML [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
MOUNJARO(TIRZEPATIDE),17.322128295898438,tirzepatide Injection [Mounjaro],"Mounjaro,Injection,Injectable Product,tirzepatide,0.5 ML tirzepatide 15 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 10 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 5 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 30 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 25 MG/ML Injection [Mounjaro],0.5 ML tirzepatide 20 MG/ML Injection [Mounjaro],tirzepatide 10 MG/ML [Mounjaro],tirzepatide 30 MG/ML [Mounjaro],tirzepatide 5 MG/ML [Mounjaro],tirzepatide 20 MG/ML [Mounjaro],tirzepatide 25 MG/ML [Mounjaro],tirzepatide 15 MG/ML [Mounjaro],tirzepatide Injection [Mounjaro],Mounjaro Injectable Product,0.5 ML tirzepatide 15 MG/ML Injection,0.5 ML tirzepatide 10 MG/ML Injection,0.5 ML tirzepatide 5 MG/ML Injection,0.5 ML tirzepatide 30 MG/ML Injection,0.5 ML tirzepatide 25 MG/ML Injection,0.5 ML tirzepatide 20 MG/ML Injection,tirzepatide 10 MG/ML,tirzepatide 30 MG/ML,tirzepatide 5 MG/ML,tirzepatide 20 MG/ML,tirzepatide 25 MG/ML,tirzepatide 15 MG/ML,tirzepatide Injection,tirzepatide Injectable Product",>=min,TRUE,9.5-10.0
SOLIQUA VILBRYD,15.077795028686523,Soliqua,"Soliqua,Pen Injector,Injectable Product,lixisenatide,insulin glargine,insulin glargine / lixisenatide,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML [Soliqua],insulin glargine / lixisenatide Pen Injector [Soliqua],Soliqua Injectable Product,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,lixisenatide 0.033 MG/ML,insulin glargine 100 UNT/ML,insulin glargine / lixisenatide Pen Injector,insulin glargine / lixisenatide Injectable Product",>=min,TRUE,9.5-10.0
OZEMPIC 1/0.75 (3) PEN INJCTR,14.6275053,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],"Ozempic,Pen Injector,Injectable Product,semaglutide,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,3 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY PEN 0.75 MG/0.5 ML,17.13389245223999,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
"VICTOZA, JANUVIA, METFORMIN, EFFEXOR, ADVAIR, SIMBICORT",14.718400955200195,Victoza,"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
MOUNJARO PEN INJECTOR,15.411610446453095,tirzepatide Auto-Injector [Mounjaro],"Mounjaro,Auto-Injector,Injectable Product,tirzepatide,0.5 ML tirzepatide 10 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 30 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 5 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 20 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 25 MG/ML Auto-Injector [Mounjaro],0.5 ML tirzepatide 15 MG/ML Auto-Injector [Mounjaro],tirzepatide 10 MG/ML [Mounjaro],tirzepatide 30 MG/ML [Mounjaro],tirzepatide 5 MG/ML [Mounjaro],tirzepatide 20 MG/ML [Mounjaro],tirzepatide 25 MG/ML [Mounjaro],tirzepatide 15 MG/ML [Mounjaro],tirzepatide Auto-Injector [Mounjaro],Mounjaro Injectable Product,0.5 ML tirzepatide 10 MG/ML Auto-Injector,0.5 ML tirzepatide 30 MG/ML Auto-Injector,0.5 ML tirzepatide 5 MG/ML Auto-Injector,0.5 ML tirzepatide 20 MG/ML Auto-Injector,0.5 ML tirzepatide 25 MG/ML Auto-Injector,0.5 ML tirzepatide 15 MG/ML Auto-Injector,tirzepatide 10 MG/ML,tirzepatide 30 MG/ML,tirzepatide 5 MG/ML,tirzepatide 20 MG/ML,tirzepatide 25 MG/ML,tirzepatide 15 MG/ML,tirzepatide Auto-Injector,tirzepatide Injectable Product",>=min,TRUE,9.5-10.0
BYETTA INSULIN,14.438364028930664,Byetta,"Byetta,Pen Injector,Injectable Product,exenatide,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector [Byetta],60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector [Byetta],exenatide 0.01 MG/ACTUAT [Byetta],exenatide 0.005 MG/ACTUAT [Byetta],exenatide Pen Injector [Byetta],Byetta Injectable Product,60 ACTUAT exenatide 0.01 MG/ACTUAT Pen Injector,60 ACTUAT exenatide 0.005 MG/ACTUAT Pen Injector,exenatide 0.01 MG/ACTUAT,exenatide 0.005 MG/ACTUAT,exenatide Pen Injector,exenatide Injectable Product",>=min,TRUE,9.5-10.0
DULAGLUTIDE (TRULICITY) 3MG SUBQ SOLUTION,17.407318115234375,dulaglutide 3 MG/ML [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 3 MG/ML Auto-Injector,dulaglutide 3 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
EXENATID,13.48706055,exenatide,exenatide,>=min,TRUE,9.5-10.0
