drugname_norm,score,rxnorm_name_best,ingredient_name,accepted_by,has_rxnorm_name,stratum
VICTOZA (NON-ABBVIE),14.718400955200195,Victoza,"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
EXENATIDE EXTENDED RELEASE,13.48706055,exenatide,exenatide,>=min,TRUE,9.5-10.0
"TRULICITY 0,75 MG, SOLUTION INJECTABLE EN STYLO PREREMPLI",12.498417854309082,Trulicity Injectable Product,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY INJ 0.75/0.5;,14.773561977386475,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
"INSULINE DEGLUDEC,LIRAGLUTIDE",21.292036056518555,insulin degludec / liraglutide,"Xultophy,Pen Injector,Injectable Product,insulin degludec,liraglutide,insulin degludec / liraglutide,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML [Xultophy],insulin degludec / liraglutide Pen Injector [Xultophy],Xultophy Injectable Product,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,insulin degludec 100 UNT/ML,liraglutide 3.6 MG/ML,insulin degludec / liraglutide Pen Injector,insulin degludec / liraglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA 18MG/3MLS,13.169618368702762,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY S P,14.280634880065918,P & S,"P & S,Medicated Shampoo,Shampoo Product,salicylic acid,salicylic acid 20 MG/ML Medicated Shampoo [P & S],salicylic acid 20 MG/ML [P & S],salicylic acid Medicated Shampoo [P & S],P & S Shampoo Product,salicylic acid 20 MG/ML Medicated Shampoo,salicylic acid 20 MG/ML,salicylic acid Medicated Shampoo,salicylic acid Shampoo Product",>=min,TRUE,9.5-10.0
SEMAGLUTIDE 3 MG,12.49600601196289,semaglutide 3 MG,"Rybelsus,Oral Tablet,Oral Product,Pill,semaglutide,semaglutide 3 MG Oral Tablet [Rybelsus],semaglutide 3 MG [Rybelsus],semaglutide Oral Tablet [Rybelsus],Rybelsus Oral Product,Rybelsus Pill,semaglutide 3 MG Oral Tablet,semaglutide 3 MG,semaglutide Oral Tablet,semaglutide Oral Product,semaglutide Pill",>=min,TRUE,9.5-10.0
EXENATID,13.48706055,exenatide,exenatide,>=min,TRUE,9.5-10.0
SEMAGLUTIDE SERTRALINE HCL,13.607461929321289,sertraline hydrochloride,"sertraline,sertraline hydrochloride",>=min,TRUE,9.5-10.0
TRULICITY 1.5 MG EVERY WEEK,12.304409980773926,dulaglutide 1.5 MG/ML [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
LIRAGLUTIDE/PLACEBO 6 MG/ML,13.57531452178955,liraglutide 6 MG/ML,"Saxenda,Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Saxenda],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],liraglutide Pen Injector [Saxenda],Victoza Injectable Product,Saxenda Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
METHYLCOBALAMIN\TIRZEPATIDE,12.608393669128418,tirzepatide,tirzepatide,>=min,TRUE,9.5-10.0
SEMAGLUTIDE,12.885526657104492,semaglutide,semaglutide,>=min,TRUE,9.5-10.0
TRULICITY 0.75 ML,12.563417126139944,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
BYDUREON BC,14.322449684143066,Bydureon,"Bydureon,Auto-Injector,Injection,Injectable Product,exenatide,exenatide 2 MG Injection [Bydureon],0.85 ML exenatide 2.35 MG/ML Auto-Injector [Bydureon],exenatide 2 MG [Bydureon],exenatide 2.35 MG/ML [Bydureon],exenatide Injection [Bydureon],exenatide Auto-Injector [Bydureon],Bydureon Injectable Product,exenatide 2 MG Injection,0.85 ML exenatide 2.35 MG/ML Auto-Injector,exenatide 2 MG,exenatide 2.35 MG/ML,exenatide Injection,exenatide Auto-Injector,exenatide Injectable Product",>=min,TRUE,9.5-10.0
"SEMAGLUTIDE (SEMAGLUTIDE 1MG/0.75ML INJ,SOLN,PEN,1.5ML)",22.20483398,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,"Ozempic,Pen Injector,Injectable Product,semaglutide,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
LIRAGLUTIDE(GENETICAL RECOMBINATION),20.25656509399414,liraglutide,liraglutide,>=min,TRUE,9.5-10.0
INSULINE DEGLUDEC/LIRAGLUTIDE INJVL/ XULTOPHY,24.387706756591797,insulin degludec / liraglutide Pen Injector [Xultophy],"Xultophy,Pen Injector,Injectable Product,insulin degludec,liraglutide,insulin degludec / liraglutide,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector [Xultophy],insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML [Xultophy],insulin degludec / liraglutide Pen Injector [Xultophy],Xultophy Injectable Product,3 ML insulin degludec 100 UNT/ML / liraglutide 3.6 MG/ML Pen Injector,insulin degludec 100 UNT/ML,liraglutide 3.6 MG/ML,insulin degludec / liraglutide Pen Injector,insulin degludec / liraglutide Injectable Product",>=min,TRUE,9.5-10.0
"SEMAGLUTIDE (SEMAGLUTIDE 1MG/0.75ML INJ, SOLN, PEN, 1.5ML)",22.20483398,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,"Ozempic,Pen Injector,Injectable Product,semaglutide,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
"TRULICITY 1,5 MG, INJECTABLE SOLUTION IN PRE-FILLED SYRINGE",21.41679298400879,aflibercept Prefilled Syringe [Eylea],"Eylea,Prefilled Syringe,Injectable Product,aflibercept,0.05 ML aflibercept 40 MG/ML Prefilled Syringe [Eylea],aflibercept 40 MG/ML [Eylea],aflibercept Prefilled Syringe [Eylea],Eylea Injectable Product,0.05 ML aflibercept 40 MG/ML Prefilled Syringe,aflibercept 40 MG/ML,aflibercept Prefilled Syringe,aflibercept-ayyh Prefilled Syringe,aflibercept Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA 2- PAK,12.718400955200195,Victoza,"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
LIRAGLUTIDE FLEX PEN,16.010761260986328,liraglutide Pen Injector,"Saxenda,Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Saxenda],3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Saxenda],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],liraglutide Pen Injector [Saxenda],Victoza Injectable Product,Saxenda Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
DULAGLUTIDE 0.75 MG/0.5 ML,14.980694770812988,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
SOLIQUA SC,15.077795028686523,Soliqua,"Soliqua,Pen Injector,Injectable Product,lixisenatide,insulin glargine,insulin glargine / lixisenatide,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML [Soliqua],insulin glargine / lixisenatide Pen Injector [Soliqua],Soliqua Injectable Product,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,lixisenatide 0.033 MG/ML,insulin glargine 100 UNT/ML,insulin glargine / lixisenatide Pen Injector,insulin glargine / lixisenatide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA (LIRAGLUTIDE (GENETICAL RECOMBINATION)) 0.9 MG DAILY,20.25656509399414,liraglutide,liraglutide,>=min,TRUE,9.5-10.0
GLP 1 VICTOZA,12.718400955200195,Victoza,"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA/LIRAGLUTIDE,18.295441742897033,liraglutide Pen Injector [Victoza],"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
OZEMPIC S/C,14.046144485473633,Ozempic,"Ozempic,Pen Injector,Injectable Product,semaglutide,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],3 ML semaglutide 2.68 MG/ML Pen Injector [Ozempic],0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide 2.68 MG/ML [Ozempic],semaglutide 0.68 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,0.25 MG, 0.5 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,3 ML semaglutide 1.34 MG/ML Pen Injector,3 ML semaglutide 2.68 MG/ML Pen Injector,0.25 MG, 0.5 MG Dose 3 ML semaglutide 0.68 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide 2.68 MG/ML,semaglutide 0.68 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA 6MG/ML INJEKTIONSL SUNG IN EINEM FERTIGPEN,14.041428565979004,liraglutide 6 MG/ML [Victoza],"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
INSULIN GLARGINE/LIXISENATIDE,21.091108322143555,insulin glargine / lixisenatide,"Soliqua,Pen Injector,Injectable Product,lixisenatide,insulin glargine,insulin glargine / lixisenatide,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector [Soliqua],insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML [Soliqua],insulin glargine / lixisenatide Pen Injector [Soliqua],Soliqua Injectable Product,3 ML insulin glargine 100 UNT/ML / lixisenatide 0.033 MG/ML Pen Injector,lixisenatide 0.033 MG/ML,insulin glargine 100 UNT/ML,insulin glargine / lixisenatide Pen Injector,insulin glargine / lixisenatide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY 1.5 MG,12.29825777578354,dulaglutide 1.5 MG/ML [Trulicity],"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
VICTOZA - 6 MG/ML SOLUZIONE INIETTABILE - NOVO NNORDISK A/S,13.951472282409668,liraglutide 6 MG/ML [Victoza],"Victoza,Pen Injector,Injectable Product,liraglutide,3 ML liraglutide 6 MG/ML Pen Injector [Victoza],liraglutide 6 MG/ML [Victoza],liraglutide Pen Injector [Victoza],Victoza Injectable Product,3 ML liraglutide 6 MG/ML Pen Injector,liraglutide 6 MG/ML,liraglutide Pen Injector,liraglutide Injectable Product",>=min,TRUE,9.5-10.0
"TRULICITY 1,5MG",12.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
"SEMAGLUTIDE (SEMAGLUTIDE 1MG/0.75ML INJ, SOLN, PEN 1.5ML)",22.20483398,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,"Ozempic,Pen Injector,Injectable Product,semaglutide,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,1 MG Dose 1.5 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
INSULIN TRULICITY,14.034219741821289,Trulicity,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
MOUNJARO INJ 12.5/0.5,14.673758412825824,0.5 ML tirzepatide 25 MG/ML Injection [Mounjaro],"Mounjaro,Injection,Injectable Product,tirzepatide,0.5 ML tirzepatide 25 MG/ML Injection [Mounjaro],tirzepatide 25 MG/ML [Mounjaro],tirzepatide Injection [Mounjaro],Mounjaro Injectable Product,0.5 ML tirzepatide 25 MG/ML Injection,tirzepatide 25 MG/ML,tirzepatide Injection,tirzepatide Injectable Product",>=min,TRUE,9.5-10.0
ZEPBOUND 2.5MG/0.5ML INJ (4PF PENS),16.02552967453003,0.5 ML tirzepatide 5 MG/ML Auto-Injector [Zepbound],"Zepbound,Auto-Injector,Injectable Product,tirzepatide,0.5 ML tirzepatide 5 MG/ML Auto-Injector [Zepbound],tirzepatide 5 MG/ML [Zepbound],tirzepatide Auto-Injector [Zepbound],Zepbound Injectable Product,0.5 ML tirzepatide 5 MG/ML Auto-Injector,tirzepatide 5 MG/ML,tirzepatide Auto-Injector,tirzepatide Injectable Product",>=min,TRUE,9.5-10.0
TRULICITY INJ,14.491168645381928,Trulicity Injectable Product,"Trulicity,Auto-Injector,Injectable Product,dulaglutide,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 3 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 6 MG/ML Auto-Injector [Trulicity],0.5 ML dulaglutide 9 MG/ML Auto-Injector [Trulicity],dulaglutide 1.5 MG/ML [Trulicity],dulaglutide 3 MG/ML [Trulicity],dulaglutide 6 MG/ML [Trulicity],dulaglutide 9 MG/ML [Trulicity],dulaglutide Auto-Injector [Trulicity],Trulicity Injectable Product,0.5 ML dulaglutide 1.5 MG/ML Auto-Injector,0.5 ML dulaglutide 3 MG/ML Auto-Injector,0.5 ML dulaglutide 6 MG/ML Auto-Injector,0.5 ML dulaglutide 9 MG/ML Auto-Injector,dulaglutide 1.5 MG/ML,dulaglutide 3 MG/ML,dulaglutide 6 MG/ML,dulaglutide 9 MG/ML,dulaglutide Auto-Injector,dulaglutide Injectable Product",>=min,TRUE,9.5-10.0
OZEMPIC 1 MG/DOSE (4 MG/3 ML) SUBCUTANEOUS PEN INJECTOR,18.211200714111328,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],"Ozempic,Pen Injector,Injectable Product,semaglutide,3 ML semaglutide 1.34 MG/ML Pen Injector [Ozempic],semaglutide 1.34 MG/ML [Ozempic],semaglutide Pen Injector [Ozempic],Ozempic Injectable Product,3 ML semaglutide 1.34 MG/ML Pen Injector,semaglutide 1.34 MG/ML,semaglutide Pen Injector,semaglutide Injectable Product",>=min,TRUE,9.5-10.0
